Ship Mode,Segment,Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
12351,Standard Class,Consumer,Office Supplies,111.12,4,0.0,40.0,15.89,High
12352,Standard Class,Consumer,Office Supplies,276.15,7,0.0,16.38,15.18,Medium
12353,Standard Class,Home Office,Technology,144.42,1,0.0,23.1,13.82,Medium
12354,Standard Class,Home Office,Office Supplies,106.9704,1,0.17,5.1504,13.06,High
12355,Standard Class,Consumer,Office Supplies,162.24,8,0.0,50.16,12.53,Medium
12356,Standard Class,Consumer,Office Supplies,121.5,3,0.0,19.44,12.1,High
12357,Standard Class,Consumer,Furniture,123.66,1,0.1,35.7,10.92,Medium
12358,Second Class,Corporate,Office Supplies,97.68,2,0.0,13.62,10.36,Medium
12359,Same Day,Corporate,Technology,90.4617,1,0.17,5.4417,10.28,High
12360,Standard Class,Consumer,Technology,98.86188,1,0.002,44.36188,9.58,High
12361,Standard Class,Corporate,Technology,110.7,2,0.0,17.7,8.47,Medium
12362,First Class,Consumer,Office Supplies,140.56,7,0.0,11.2,8.24,Medium
12363,Standard Class,Corporate,Technology,74.52,1,0.0,5.94,7.85,Medium
12364,Standard Class,Consumer,Office Supplies,338.94,7,0.0,101.64,7.55,Medium
12365,First Class,Consumer,Office Supplies,49.08,3,0.0,12.24,7.49,Medium
12366,Second Class,Corporate,Office Supplies,65.52,6,0.0,22.14,7.07,Medium
12367,Standard Class,Consumer,Office Supplies,136.12,1,0.0,25.86,6.97,Medium
12368,Standard Class,Home Office,Technology,123.39,1,0.0,49.35,6.84,Medium
12369,First Class,Home Office,Office Supplies,69.84,8,0.0,21.6,5.78,Medium
12370,Standard Class,Consumer,Technology,112.2,1,0.0,52.71,4.93,Medium
12371,Standard Class,Home Office,Office Supplies,63.18,6,0.0,14.4,4.86,Medium
12372,Standard Class,Home Office,Office Supplies,36.3474,2,0.47,-30.9126,4.85,High
12373,Standard Class,Corporate,Office Supplies,48.66,1,0.0,8.73,4.68,Medium
12374,Standard Class,Corporate,Office Supplies,74.79,5,0.1,22.29,4.04,Medium
12375,Second Class,Consumer,Office Supplies,43.56,2,0.0,6.52,3.84,Medium
12376,Standard Class,Consumer,Office Supplies,96.18,2,0.0,8.64,3.81,Medium
12377,First Class,Consumer,Office Supplies,23.616,8,0.2,7.9704,3.31,Medium
12378,Standard Class,Consumer,Office Supplies,30.0,1,0.0,5.7,3.18,Medium
12379,Standard Class,Home Office,Office Supplies,25.0992,3,0.17,5.1192,3.15,High
12380,Standard Class,Consumer,Office Supplies,49.2,1,0.0,21.15,3.15,Medium
12381,Second Class,Corporate,Office Supplies,17.46,3,0.4,-2.64,2.48,Critical
12382,Standard Class,Corporate,Office Supplies,53.52,4,0.0,22.92,2.45,Medium
12383,Standard Class,Consumer,Office Supplies,60.57,3,0.0,29.07,2.31,Medium
12384,Standard Class,Consumer,Office Supplies,32.4,5,0.0,15.552,1.91,Medium
12385,First Class,Consumer,Office Supplies,11.32,2,0.0,2.68,1.69,Medium
12386,Standard Class,Consumer,Office Supplies,12.3,3,0.0,4.92,1.67,High
12387,Standard Class,Consumer,Office Supplies,12.24,2,0.0,0.48,1.44,High
12388,Standard Class,Corporate,Office Supplies,14.24,4,0.0,0.4,1.19,Medium
12389,Standard Class,Corporate,Office Supplies,21.9,3,0.0,8.1,1.18,Medium
12390,Standard Class,Corporate,Office Supplies,19.98,1,0.0,9.57,1.11,Medium
12391,Standard Class,Consumer,Office Supplies,19.35,1,0.0,2.1,1.0,Medium
12392,Standard Class,Consumer,Office Supplies,20.7,2,0.0,9.936,0.9,Medium
12393,Standard Class,Consumer,Office Supplies,11.82,1,0.0,3.9,0.9,Medium
12394,Standard Class,Corporate,Office Supplies,22.76,2,0.0,0.2,0.86,Low
12395,Standard Class,Consumer,Technology,38.37,1,0.0,0.75,0.73,Medium
12396,Standard Class,Consumer,Furniture,2888.76,7,0.0,173.25,256.64,Medium
12397,Standard Class,Corporate,Furniture,616.572,6,0.4,-133.668,95.21,High
12398,Standard Class,Consumer,Technology,1248.8625,5,0.15,88.0125,86.99,High
12399,Standard Class,Consumer,Technology,460.08,4,0.0,0.0,73.45,High
12400,Standard Class,Consumer,Office Supplies,338.04,3,0.2,-33.804,71.39,High
12401,Second Class,Corporate,Office Supplies,596.7,3,0.0,167.04,69.64,Medium
12402,Standard Class,Corporate,Furniture,414.18,1,0.1,115.05,40.87,Medium
12403,Standard Class,Consumer,Furniture,627.696,3,0.2,172.596,38.69,Medium
12404,Same Day,Home Office,Technology,129.132,2,0.15,10.632,37.31,Critical
12405,Standard Class,Corporate,Technology,441.9,3,0.0,0.0,32.28,Medium
12406,First Class,Corporate,Technology,263.58,1,0.0,65.88,29.56,High
12407,Same Day,Corporate,Technology,341.991,3,0.7,-319.1916,27.22,Medium
12408,Standard Class,Consumer,Technology,319.2084,14,0.47,-186.8916,26.31,Medium
12409,Standard Class,Home Office,Technology,286.26,2,0.0,114.48,25.0,Medium
12410,Standard Class,Consumer,Office Supplies,154.24,4,0.2,17.352,24.4,High
12411,Standard Class,Corporate,Furniture,294.18,2,0.0,76.44,21.45,Medium
12412,Standard Class,Consumer,Furniture,321.492,4,0.27,-114.588,19.92,Medium
12413,Standard Class,Consumer,Furniture,256.77,9,0.0,69.12,19.06,Medium
12414,Standard Class,Corporate,Office Supplies,184.68,4,0.0,35.04,17.15,Medium
12415,Standard Class,Corporate,Office Supplies,99.54,6,0.0,45.72,15.8,Low
12416,Standard Class,Consumer,Furniture,241.056,3,0.1,-26.784,15.19,High
12417,Standard Class,Corporate,Office Supplies,216.0,5,0.1,86.4,14.77,Medium
12418,Same Day,Home Office,Office Supplies,44.856,6,0.7,-35.8848,7.98,High
12419,Standard Class,Consumer,Office Supplies,70.4529,7,0.47,-36.0171,5.73,Medium
12420,Standard Class,Corporate,Technology,39.132,1,0.4,-3.288,3.97,High
12421,Same Day,Home Office,Office Supplies,47.1,2,0.0,8.94,2.61,Critical
12422,Standard Class,Corporate,Office Supplies,30.96,2,0.0,4.32,1.49,Medium
12423,Second Class,Corporate,Office Supplies,8.748,1,0.7,-11.982,1.0,Medium
12424,Standard Class,Consumer,Office Supplies,16.768,2,0.2,1.4672,0.99,Medium
12425,Standard Class,Consumer,Office Supplies,3.708,1,0.4,-1.672,0.22,Medium
12426,Standard Class,Home Office,Technology,355.5,6,0.0,7.02,17.95,Medium
12427,Second Class,Corporate,Office Supplies,109.8,4,0.0,30.72,14.61,High
12428,Standard Class,Home Office,Office Supplies,197.88,4,0.0,31.56,11.31,Medium
12429,Second Class,Corporate,Office Supplies,88.128,2,0.1,22.488,8.04,High
12430,Standard Class,Corporate,Office Supplies,111.888,3,0.4,-59.742,4.76,Medium
12431,Second Class,Corporate,Office Supplies,25.38,2,0.0,11.64,3.03,High
12432,Second Class,Corporate,Office Supplies,20.97,3,0.0,10.26,2.72,High
12433,Standard Class,Corporate,Office Supplies,21.78,1,0.0,2.61,2.2,Medium
12434,Standard Class,Consumer,Office Supplies,12.18,3,0.0,4.38,0.78,Medium
12435,Standard Class,Home Office,Technology,3407.94,9,0.0,613.17,193.81,Medium
12436,Second Class,Consumer,Technology,719.96,5,0.2,53.997,107.79,High
12437,First Class,Consumer,Technology,664.2,10,0.0,26.4,105.33,High
12438,Second Class,Corporate,Office Supplies,254.85,5,0.0,12.6,102.71,Critical
12439,Standard Class,Home Office,Technology,864.0,8,0.1,259.2,81.13,High
12440,Standard Class,Corporate,Technology,519.68,7,0.2,58.464,69.86,High
12441,Standard Class,Home Office,Furniture,770.7,7,0.0,7.56,50.59,Medium
12442,First Class,Home Office,Technology,307.44,3,0.0,129.06,50.14,Medium
12443,Standard Class,Home Office,Technology,655.35,5,0.0,183.45,48.66,Medium
12444,Second Class,Consumer,Furniture,300.93,5,0.3,-34.392,33.29,High
12445,Standard Class,Consumer,Furniture,308.259,7,0.1,95.739,24.12,Medium
12446,Standard Class,Consumer,Office Supplies,393.6,8,0.0,169.2,23.89,Medium
12447,Standard Class,Corporate,Office Supplies,250.74,7,0.0,27.58,22.74,Medium
12448,Standard Class,Consumer,Office Supplies,146.88,3,0.0,2.88,22.6,Low
12449,Second Class,Consumer,Office Supplies,276.784,2,0.2,89.9548,21.99,High
12450,Second Class,Corporate,Furniture,180.252,2,0.1,50.052,20.43,High
12451,Second Class,Consumer,Office Supplies,57.12,4,0.0,6.24,19.36,Critical
12452,Standard Class,Consumer,Office Supplies,113.64,5,0.4,9.44,15.91,High
12453,Second Class,Home Office,Office Supplies,89.88,4,0.0,0.0,12.78,High
12454,Standard Class,Consumer,Office Supplies,81.98,2,0.0,40.1702,12.57,High
12455,Second Class,Consumer,Technology,82.59,1,0.0,26.4,12.13,Critical
12456,First Class,Consumer,Furniture,131.58,3,0.0,15.75,12.04,High
12457,Standard Class,Consumer,Technology,215.541,3,0.1,7.101,12.01,Medium
12458,Standard Class,Consumer,Office Supplies,109.32,4,0.0,12.0,11.4,Medium
12459,Standard Class,Home Office,Technology,273.3,2,0.0,68.28,10.99,Medium
12460,Standard Class,Consumer,Furniture,251.008,8,0.2,-28.352,10.37,Medium
12461,Second Class,Home Office,Office Supplies,67.56,3,0.2,8.445,9.67,Critical
12462,Second Class,Consumer,Office Supplies,41.58,4,0.1,9.66,9.51,Critical
12463,Standard Class,Consumer,Furniture,163.8,7,0.0,24.57,8.17,Medium
12464,Standard Class,Consumer,Office Supplies,70.95,5,0.0,17.7,7.32,Low
12465,First Class,Consumer,Office Supplies,51.78,1,0.0,9.3,6.88,High
12466,First Class,Consumer,Furniture,85.5414,2,0.27,11.6814,6.18,Medium
12467,Second Class,Home Office,Office Supplies,59.48,2,0.0,8.922,5.9,High
12468,Standard Class,Consumer,Office Supplies,138.24,5,0.1,30.69,5.6,Medium
12469,Second Class,Corporate,Office Supplies,71.361,3,0.1,-0.819,5.5,High
12470,Second Class,Consumer,Office Supplies,75.69,3,0.0,2.25,5.5,Medium
12471,Standard Class,Consumer,Furniture,155.7,3,0.0,13.95,5.39,Medium
12472,Standard Class,Home Office,Technology,81.84,2,0.0,27.78,4.41,Medium
12473,Second Class,Consumer,Office Supplies,25.326,2,0.1,2.226,4.03,Critical
12474,Second Class,Corporate,Office Supplies,44.37,1,0.0,10.2,3.82,Critical
12475,Second Class,Home Office,Office Supplies,27.6378,2,0.27,6.7578,3.43,Medium
12476,Standard Class,Consumer,Office Supplies,39.624,3,0.2,13.8684,2.51,High
12477,Standard Class,Consumer,Office Supplies,36.0,6,0.0,7.56,2.35,Medium
12478,Standard Class,Consumer,Office Supplies,62.61,1,0.0,18.78,2.3,Medium
12479,Standard Class,Consumer,Office Supplies,14.256,3,0.2,4.455,1.82,High
12480,Second Class,Home Office,Office Supplies,6.69,1,0.0,3.0774,1.11,High
12481,Standard Class,Consumer,Office Supplies,19.764,2,0.1,1.284,1.09,Medium
12482,Standard Class,Consumer,Office Supplies,13.59,3,0.0,5.76,1.07,Medium
12483,Standard Class,Consumer,Office Supplies,7.38,2,0.0,3.4686,0.94,High
12484,Standard Class,Consumer,Office Supplies,6.84,1,0.0,1.41,0.42,Medium
12485,Standard Class,Corporate,Office Supplies,5.706,1,0.4,0.846,0.37,Medium
12486,First Class,Home Office,Technology,924.66,3,0.0,397.53,225.0,Critical
12487,Standard Class,Home Office,Office Supplies,1625.76,8,0.0,503.76,145.21,Medium
12488,Standard Class,Consumer,Technology,1553.76,6,0.0,730.26,139.75,High
12489,Second Class,Consumer,Furniture,947.22,2,0.0,274.68,115.11,High
12490,First Class,Home Office,Office Supplies,395.4,4,0.0,169.92,112.06,Critical
12491,Same Day,Consumer,Furniture,401.976,3,0.6,-140.724,93.76,Medium
12492,Standard Class,Home Office,Technology,1285.56,2,0.0,89.94,85.21,Medium
12493,Same Day,Consumer,Furniture,324.06,5,0.4,-162.04,66.17,High
12494,Second Class,Consumer,Office Supplies,395.88,2,0.0,193.98,46.6,High
12495,Second Class,Consumer,Technology,494.64,2,0.0,39.54,34.38,Medium
12496,Standard Class,Home Office,Technology,366.72,2,0.0,54.96,28.48,Medium
12497,Standard Class,Home Office,Technology,391.32,9,0.0,144.72,28.18,Medium
12498,Standard Class,Consumer,Furniture,190.08,3,0.25,-53.28,23.79,High
12499,Same Day,Consumer,Office Supplies,48.45,1,0.0,0.0,21.57,Critical
12500,Second Class,Corporate,Furniture,110.28,2,0.0,55.14,20.56,Critical
12501,Second Class,Consumer,Office Supplies,101.94,2,0.0,5.04,16.95,High
12502,First Class,Corporate,Furniture,120.784,1,0.2,13.5882,15.39,Medium
12503,Standard Class,Consumer,Technology,189.72,3,0.15,-29.07,15.16,High
12504,Standard Class,Consumer,Technology,113.169,2,0.15,38.589,15.11,High
12505,Standard Class,Consumer,Office Supplies,170.487,1,0.7,-261.423,15.0,Medium
12506,Standard Class,Home Office,Technology,156.528,9,0.6,-90.072,13.17,Medium
12507,Same Day,Consumer,Office Supplies,48.93,1,0.0,14.67,13.04,Critical
12508,Standard Class,Corporate,Furniture,197.3985,1,0.35,-30.3915,12.83,Medium
12509,First Class,Corporate,Technology,341.94,3,0.0,54.66,10.08,Medium
12510,Standard Class,Consumer,Technology,102.1149,1,0.17,-12.3051,9.91,Medium
12511,Standard Class,Consumer,Office Supplies,177.3,6,0.0,86.76,7.69,Medium
12512,Standard Class,Consumer,Office Supplies,51.66,3,0.0,22.68,7.22,Low
12513,Standard Class,Corporate,Furniture,66.51,3,0.0,0.0,6.42,Medium
12514,First Class,Corporate,Furniture,90.882,3,0.7,-190.8522,5.94,Medium
12515,First Class,Consumer,Furniture,14.0,4,0.6,-6.3,5.54,Critical
12516,Same Day,Consumer,Furniture,23.4,1,0.0,7.23,5.46,Critical
12517,Standard Class,Consumer,Office Supplies,31.95,3,0.0,1.53,4.49,High
12518,First Class,Consumer,Office Supplies,16.392,2,0.8,-26.2272,3.8,Critical
12519,Standard Class,Consumer,Office Supplies,23.22,1,0.0,7.65,3.07,Low
12520,Standard Class,Consumer,Furniture,42.0525,3,0.25,7.7625,2.97,High
12521,Standard Class,Home Office,Technology,41.52,1,0.0,13.26,2.78,Medium
12522,Standard Class,Home Office,Office Supplies,36.72,1,0.4,-5.52,2.43,Medium
12523,Standard Class,Corporate,Office Supplies,20.608,2,0.2,-4.3792,1.66,Medium
12524,Standard Class,Consumer,Office Supplies,29.304,1,0.4,-5.886,1.65,Medium
12525,Second Class,Corporate,Office Supplies,14.112,2,0.4,-4.728,1.0,Medium
12526,Standard Class,Home Office,Office Supplies,15.48,1,0.0,2.61,0.68,Medium
12527,Standard Class,Consumer,Office Supplies,9.612,2,0.7,-21.168,0.64,Medium
12528,Standard Class,Consumer,Office Supplies,7.866,2,0.7,-7.614,0.62,Medium
12529,Standard Class,Consumer,Office Supplies,6.642,1,0.4,-4.338,0.52,Medium
12530,First Class,Corporate,Technology,15.992,1,0.2,-2.9985,0.44,Medium
12531,Standard Class,Corporate,Office Supplies,4.095,3,0.7,-2.73,0.39,Medium
12532,Same Day,Home Office,Technology,763.92,4,0.0,381.96,313.66,Critical
12533,First Class,Corporate,Furniture,782.28,2,0.0,391.14,172.29,Medium
12534,Second Class,Consumer,Furniture,961.8,7,0.0,163.38,126.91,Medium
12535,Second Class,Consumer,Office Supplies,720.76,4,0.0,187.3976,105.59,High
12536,Same Day,Home Office,Technology,228.33,3,0.0,70.74,103.93,Critical
12537,First Class,Home Office,Technology,330.04,2,0.0,118.8,80.31,High
12538,Standard Class,Consumer,Technology,1103.04,8,0.0,529.44,64.54,Medium
12539,Second Class,Consumer,Furniture,467.46,9,0.0,191.6586,61.7,High
12540,Second Class,Consumer,Furniture,953.82,7,0.7,-1557.99,58.39,Medium
12541,First Class,Corporate,Office Supplies,1077.066,10,0.47,-61.134,57.08,Medium
12542,Standard Class,Consumer,Furniture,771.282,6,0.1,162.702,56.93,Medium
12543,Standard Class,Consumer,Technology,364.32,2,0.0,112.92,50.45,High
12544,First Class,Home Office,Furniture,200.76,3,0.0,7.98,49.0,High
12545,First Class,Corporate,Office Supplies,155.82,7,0.0,42.0714,47.91,High
12546,Standard Class,Consumer,Technology,881.93,7,0.0,220.4825,44.26,Medium
12547,First Class,Consumer,Technology,221.98,2,0.0,62.1544,40.77,High
12548,Standard Class,Consumer,Furniture,338.7,2,0.0,30.48,39.31,Medium
12549,First Class,Corporate,Office Supplies,113.76,2,0.0,1.08,36.27,Critical
12550,Same Day,Consumer,Technology,157.32,4,0.0,69.12,29.87,High
12551,Standard Class,Consumer,Technology,389.61,3,0.0,15.57,27.56,Medium
12552,First Class,Corporate,Furniture,225.6,2,0.0,42.84,27.44,High
12553,Second Class,Corporate,Office Supplies,237.492,2,0.4,-118.788,26.47,High
12554,Second Class,Consumer,Furniture,307.728,6,0.2,100.008,25.63,High
12555,Same Day,Consumer,Furniture,171.51,1,0.0,58.29,25.33,High
12556,First Class,Consumer,Furniture,341.96,2,0.0,54.7136,25.27,High
12557,Standard Class,Consumer,Technology,186.8832,2,0.37,8.8632,25.01,Medium
12558,Standard Class,Home Office,Office Supplies,334.88,4,0.2,29.302,24.22,Medium
12559,Standard Class,Home Office,Technology,339.36,4,0.5,-217.2,21.98,Medium
12560,Standard Class,Consumer,Technology,279.944,7,0.2,48.9902,21.08,High
12561,Standard Class,Corporate,Technology,419.31,3,0.0,88.02,21.04,Medium
12562,Standard Class,Consumer,Office Supplies,174.204,4,0.1,69.564,20.62,High
12563,Second Class,Consumer,Furniture,182.385,3,0.5,-21.915,19.27,Medium
12564,Second Class,Consumer,Office Supplies,129.92,4,0.0,38.976,16.65,High
12565,Standard Class,Consumer,Technology,215.55,3,0.0,94.77,16.56,Medium
12566,Standard Class,Consumer,Technology,678.72,4,0.0,122.16,16.24,Medium
12567,First Class,Consumer,Office Supplies,165.68,4,0.0,43.04,14.7,Critical
12568,Second Class,Consumer,Office Supplies,53.28,3,0.0,7.44,12.07,Critical
12569,Standard Class,Consumer,Technology,211.05,5,0.0,37.95,11.17,Medium
12570,Second Class,Consumer,Office Supplies,67.71,3,0.0,32.5008,10.83,High
12571,Second Class,Consumer,Office Supplies,195.39,6,0.5,-47.07,10.79,Medium
12572,Standard Class,Home Office,Technology,178.92,7,0.2,-29.0745,10.58,Medium
12573,Second Class,Consumer,Office Supplies,111.9525,5,0.45,-12.2475,10.3,Medium
12574,Same Day,Consumer,Office Supplies,225.84,4,0.0,56.4,9.67,Medium
12575,Standard Class,Consumer,Technology,103.92,4,0.0,14.52,9.15,High
12576,Second Class,Consumer,Technology,80.757,1,0.1,21.507,8.9,High
12577,Standard Class,Home Office,Office Supplies,89.568,2,0.2,32.4684,8.68,Medium
12578,Second Class,Consumer,Office Supplies,61.4,5,0.0,28.858,8.68,High
12579,Standard Class,Consumer,Office Supplies,120.816,4,0.4,-38.304,8.61,Medium
12580,Second Class,Consumer,Technology,81.0975,5,0.45,-33.9525,8.46,Medium
12581,First Class,Corporate,Office Supplies,70.008,3,0.2,24.5028,8.46,High
12582,Standard Class,Corporate,Office Supplies,170.1,5,0.1,39.6,8.35,Medium
12583,Standard Class,Consumer,Technology,191.898,2,0.7,-287.862,8.34,Medium
12584,First Class,Consumer,Office Supplies,31.104,6,0.2,10.8864,8.29,Critical
12585,First Class,Consumer,Office Supplies,29.74,1,0.0,4.461,8.14,Medium
12586,Standard Class,Consumer,Office Supplies,56.304,2,0.4,-18.816,8.08,High
12587,Standard Class,Consumer,Office Supplies,201.3165,5,0.17,2.4165,7.88,Medium
12588,Standard Class,Corporate,Office Supplies,81.96,2,0.0,39.3408,7.18,Medium
12589,Standard Class,Consumer,Office Supplies,107.52,4,0.0,24.72,7.04,Medium
12590,Standard Class,Consumer,Technology,132.63,1,0.0,6.63,6.69,Medium
12591,Standard Class,Consumer,Office Supplies,40.23,3,0.0,20.07,6.06,High
12592,Same Day,Consumer,Office Supplies,54.66,1,0.0,2.73,5.97,High
12593,First Class,Corporate,Office Supplies,48.63,1,0.0,2.91,5.77,Medium
12594,Standard Class,Consumer,Office Supplies,122.283,7,0.1,21.693,5.63,High
12595,Second Class,Consumer,Office Supplies,55.98,2,0.0,16.74,5.32,High
12596,Second Class,Consumer,Office Supplies,44.688,3,0.2,10.608,5.11,Medium
12597,Standard Class,Home Office,Furniture,148.288,7,0.2,29.6576,4.22,Medium
12598,Standard Class,Consumer,Furniture,44.34,2,0.0,0.0,4.14,Medium
12599,Standard Class,Home Office,Office Supplies,69.888,7,0.7,-46.592,4.0,Medium
12600,Standard Class,Corporate,Office Supplies,49.848,3,0.2,16.8237,3.73,Medium
12601,Standard Class,Consumer,Office Supplies,38.28,3,0.0,14.16,3.69,Medium
12602,Second Class,Consumer,Office Supplies,31.14,3,0.0,2.43,3.57,Medium
12603,Standard Class,Consumer,Office Supplies,46.44,2,0.0,15.3,3.54,Medium
12604,Standard Class,Corporate,Office Supplies,28.86,2,0.0,0.24,3.51,High
12605,Standard Class,Consumer,Office Supplies,36.354,5,0.17,8.304,3.49,Medium
12606,Standard Class,Consumer,Office Supplies,41.86,7,0.0,10.465,3.35,Medium
12607,Standard Class,Consumer,Office Supplies,48.6,5,0.1,8.55,2.92,Medium
12608,First Class,Corporate,Office Supplies,61.08,2,0.0,29.88,2.74,Medium
12609,Standard Class,Corporate,Furniture,37.3,2,0.0,17.158,2.67,Medium
12610,Second Class,Consumer,Office Supplies,38.976,3,0.2,-2.436,2.42,Medium
12611,First Class,Home Office,Office Supplies,32.4,5,0.0,15.552,2.4,High
12612,Standard Class,Home Office,Technology,41.958,7,0.4,-9.7902,2.2,Medium
12613,Standard Class,Consumer,Office Supplies,32.7684,4,0.17,-6.3516,2.18,Medium
12614,Standard Class,Consumer,Office Supplies,38.4,2,0.0,19.2,2.01,Medium
12615,Second Class,Consumer,Office Supplies,46.44,3,0.0,7.83,1.88,High
12616,Standard Class,Consumer,Office Supplies,37.476,2,0.4,-8.124,1.75,Medium
12617,Standard Class,Consumer,Office Supplies,19.56,4,0.0,4.68,1.56,Medium
12618,Same Day,Home Office,Office Supplies,6.54,1,0.0,1.83,1.5,Critical
12619,Standard Class,Consumer,Technology,32.01,1,0.0,15.03,1.46,Medium
12620,First Class,Home Office,Office Supplies,13.216,4,0.2,4.4604,1.44,High
12621,Same Day,Consumer,Office Supplies,97.74,2,0.0,28.32,1.42,Medium
12622,Second Class,Consumer,Office Supplies,14.7,5,0.0,3.969,1.23,High
12623,Standard Class,Home Office,Office Supplies,22.248,3,0.2,7.5087,1.12,Medium
12624,Standard Class,Home Office,Furniture,9.98,1,0.0,2.7944,0.95,Medium
12625,Standard Class,Corporate,Office Supplies,20.368,1,0.2,7.3834,0.92,Medium
12626,Second Class,Consumer,Office Supplies,14.72,5,0.2,-3.312,0.87,Medium
12627,Standard Class,Home Office,Office Supplies,9.216,4,0.2,3.3408,0.85,Medium
12628,Standard Class,Consumer,Office Supplies,13.62,3,0.0,6.48,0.79,Medium
12629,Second Class,Consumer,Office Supplies,5.184,3,0.2,1.8144,0.7,High
12630,Standard Class,Consumer,Office Supplies,7.8,1,0.0,1.23,0.59,Medium
12631,Standard Class,Consumer,Office Supplies,6.78,1,0.0,0.39,0.52,Medium
12632,Standard Class,Home Office,Office Supplies,4.624,1,0.2,1.6762,0.39,Medium
12633,Standard Class,Consumer,Office Supplies,3.64,1,0.2,1.365,0.18,Medium
12634,Second Class,Corporate,Technology,1695.87,5,0.1,-37.83,498.62,Critical
12635,Second Class,Consumer,Technology,1035.3,5,0.0,352.0,188.01,High
12636,Same Day,Consumer,Furniture,1424.9,5,0.0,356.225,180.31,High
12637,Second Class,Corporate,Furniture,414.666,7,0.1,179.676,106.5,Critical
12638,First Class,Corporate,Technology,591.7032,2,0.07,184.4832,90.59,High
12639,Standard Class,Consumer,Furniture,850.95,5,0.0,93.6,83.8,Medium
12640,Standard Class,Home Office,Furniture,960.64,8,0.0,278.56,64.96,Medium
12641,First Class,Corporate,Technology,262.4274,2,0.07,101.5674,58.22,High
12642,Second Class,Corporate,Furniture,158.76,7,0.1,21.0,57.12,Critical
12643,First Class,Corporate,Office Supplies,238.293,5,0.17,80.343,55.57,High
12644,Second Class,Corporate,Office Supplies,217.755,5,0.1,86.955,52.09,Critical
12645,Standard Class,Consumer,Furniture,895.18,11,0.0,152.02,51.74,Medium
12646,Standard Class,Consumer,Office Supplies,679.96,5,0.2,220.987,50.75,Medium
12647,Standard Class,Consumer,Furniture,942.36,3,0.0,292.08,49.45,Medium
12648,Standard Class,Consumer,Technology,294.3,2,0.0,138.3,44.07,Low
12649,Standard Class,Corporate,Technology,877.3418,5,0.002,314.6418,41.17,Medium
12650,Standard Class,Corporate,Technology,437.04,6,0.0,183.42,40.55,High
12651,Standard Class,Consumer,Technology,795.33,3,0.0,23.85,34.64,Medium
12652,First Class,Corporate,Technology,133.728,8,0.4,15.488,30.78,Critical
12653,Standard Class,Corporate,Office Supplies,685.584,6,0.1,129.384,26.9,Medium
12654,Second Class,Consumer,Furniture,321.568,2,0.2,28.1372,26.38,Medium
12655,Standard Class,Consumer,Technology,378.45,1,0.0,34.05,25.61,Medium
12656,Standard Class,Corporate,Furniture,170.19,1,0.0,27.21,25.36,Low
12657,Second Class,Consumer,Office Supplies,138.08,4,0.0,45.52,22.98,High
12658,Standard Class,Consumer,Office Supplies,153.552,3,0.2,51.8238,21.6,Low
12659,Standard Class,Consumer,Furniture,391.86,3,0.0,129.3,19.0,Medium
12660,Standard Class,Consumer,Technology,378.45,3,0.0,94.59,15.62,Medium
12661,First Class,Consumer,Office Supplies,80.58,6,0.0,22.5624,15.31,High
12662,Standard Class,Corporate,Furniture,93.66,7,0.0,26.18,14.65,Low
12663,Second Class,Corporate,Office Supplies,61.398,6,0.1,26.478,13.21,Critical
12664,Standard Class,Home Office,Office Supplies,158.04,6,0.0,79.02,12.78,Medium
12665,Standard Class,Consumer,Office Supplies,123.92,4,0.0,55.764,12.44,Low
12666,First Class,Consumer,Office Supplies,361.92,4,0.0,162.864,10.32,High
12667,Second Class,Corporate,Office Supplies,36.288,3,0.1,14.508,10.05,Critical
12668,Standard Class,Corporate,Office Supplies,66.22,7,0.0,16.52,9.24,Low
12669,Standard Class,Consumer,Office Supplies,133.29,3,0.0,43.92,9.21,Medium
12670,First Class,Home Office,Office Supplies,80.28,12,0.0,36.9288,8.9,High
12671,Standard Class,Consumer,Office Supplies,87.84,3,0.0,2.58,8.77,Medium
12672,Standard Class,Consumer,Office Supplies,74.97,3,0.5,-4.5,8.48,High
12673,Standard Class,Corporate,Office Supplies,42.12,9,0.0,19.62,7.48,Low
12674,Standard Class,Consumer,Office Supplies,65.34,3,0.0,22.869,7.15,Low
12675,First Class,Corporate,Office Supplies,43.56,5,0.4,-16.04,6.45,Critical
12676,First Class,Corporate,Office Supplies,63.3615,5,0.47,-40.7385,6.28,High
12677,Standard Class,Home Office,Office Supplies,83.358,3,0.45,-28.872,5.34,Medium
12678,Standard Class,Home Office,Office Supplies,93.24,7,0.0,38.22,5.31,Medium
12679,Standard Class,Corporate,Office Supplies,62.82,9,0.0,29.5254,5.24,Medium
12680,Standard Class,Consumer,Office Supplies,28.395,3,0.5,-5.715,4.79,Low
12681,Standard Class,Corporate,Office Supplies,48.708,6,0.7,-74.772,4.52,Medium
12682,Second Class,Home Office,Office Supplies,59.1,3,0.0,20.64,4.13,Medium
12683,Second Class,Home Office,Furniture,34.92,3,0.0,11.16,3.92,Medium
12684,Standard Class,Consumer,Office Supplies,22.92,2,0.0,5.94,3.62,Low
12685,Standard Class,Corporate,Office Supplies,57.996,6,0.1,19.836,3.54,Medium
12686,Standard Class,Consumer,Office Supplies,35.1,3,0.0,12.285,3.3,Low
12687,Standard Class,Consumer,Technology,44.75,5,0.0,8.5025,3.25,Low
